Task,Level,sessions,ACC,Subj.num
Switching,2,9,0.81,S067
Switching,2,10,0.79,S067
Switching,2,11,0.87,S067
Switching,3,12,0.59,S067
Switching,3,13,0.67,S067
Switching,3,14,0.86,S067
Switching,3,15,0.94,S067
Switching,3,16,0.9,S067
Inhibition,1,1,0.96,S067
Inhibition,1,2,1,S067
Inhibition,1,3,1,S067
Inhibition,2,4,1,S067
Inhibition,2,5,0.99,S067
Inhibition,2,6,0.97,S067
Inhibition,3,7,0.8,S067
Inhibition,3,8,0.87,S067
Inhibition,3,9,0.87,S067
Inhibition,4,10,0.8,S067
Inhibition,4,11,,S067
Inhibition,4,12,0.77,S067
Inhibition,4,13,0.85,S067
Inhibition,5,14,0.58,S067
Inhibition,5,15,0.76,S067
Inhibition,5,16,0.6,S067
NBack,1,1,1,S069
NBack,1,2,1,S069
NBack,1,3,1,S069
NBack,2,4,1,S069
NBack,2,5,1,S069
NBack,2,6,1,S069
NBack,3,7,0.84,S069
NBack,3,8,0.82,S069
NBack,3,9,0.86,S069
NBack,4,10,0.98,S069
NBack,4,11,0.97,S069
NBack,4,12,1,S069
NBack,5,13,0.91,S069
NBack,5,14,0.98,S069
NBack,5,15,0.87,S069
NBack,6,16,0.81,S069
NBack,,17,,S069
Switching,1,1,0.99,S069
Switching,1,2,1,S069
Switching,1,3,1,S069
Switching,2,4,0.81,S069
Switching,2,5,0.87,S069
Switching,2,6,,S069
Switching,3,7,0.84,S069
Switching,3,8,0.79,S069
Switching,3,9,0.91,S069
Switching,4,10,0.93,S069
Switching,4,11,0.89,S069
Switching,4,12,0.9,S069
Switching,5,13,0.81,S069
Switching,5,14,0.89,S069
Switching,5,15,0.82,S069
Switching,5,16,,S069
Inhibition,1,1,1,S069
Inhibition,1,2,1,S069
Inhibition,1,3,,S069
Inhibition,2,4,1,S069
Inhibition,2,5,1,S069
Inhibition,2,6,,S069
Inhibition,3,7,0.92,S069
Inhibition,3,8,0.94,S069
Inhibition,3,9,0.95,S069
Inhibition,4,10,0.85,S069
Inhibition,4,11,0.88,S069
Inhibition,4,12,0.93,S069
Inhibition,5,13,0.68,S069
